name,style,weight,filename,post_script_name,full_name,copyright
Alike,normal,400,Alike-Regular.ttf,Alike-Regular,Alike Regular,"Copyright (c) 2011, Cyreal (www.cyreal.org) with Reserved Font Name \'Alike\'."
Alike Angular,normal,400,AlikeAngular-Regular.ttf,AlikeAngular-Regular,Alike Angular Regular,"Copyright (c) 2011, Cyreal (www.cyreal.org) with Reserved Font Name \Alike\ and \Alike Angular\."
Allan,normal,400,Allan-Regular.ttf,Allan-Regular,Allan Regular,"Copyright (c) 2010-2012, Anton Koovit (anton@fatype.com), with Reserved Font Name \'Allan\'"
Allan,normal,700,Allan-Bold.ttf,Allan-Bold,Allan Bold,"Copyright (c) 2010-2012, Anton Koovit (anton@fatype.com), with Reserved Font Name \'Allan\'"
Allerta,normal,400,Allerta-Regular.ttf,Allerta-Regular,Allerta Regular,"Copyright (c) 2009, Matt McInerney <matt@pixelspread.com>"
Allerta Stencil,normal,400,AllertaStencil-Regular.ttf,AllertaStencil-Regular,Allerta Stencil Regular,"Copyright (c) 2009, Matt McInerney <matt@pixelspread.com> with Reserved Font Name Allerta."
Allura,normal,400,Allura-Regular.ttf,Allura-Regular,Allura Regular,"Copyright (c) 2011 TypeSETit, LLC (typesetit@att.net), with Reserved Font Name \Allura\"
Almarai,normal,300,Almarai-Light.ttf,Almarai-Light,Almarai Light,Copyright (c) 2019 by Almarai. All rights reserved.
Almarai,normal,400,Almarai-Regular.ttf,Almarai-Regular,Almarai,Copyright (c) 2019 by Almarai. All rights reserved.
Almarai,normal,700,Almarai-Bold.ttf,Almarai-Bold,Almarai Bold,Copyright (c) 2019 by Almarai. All rights reserved.
Almarai,normal,800,Almarai-ExtraBold.ttf,Almarai-ExtraBold,Almarai ExtraBold,Copyright (c) 2019 by Almarai. All rights reserved.
Almendra,normal,400,Almendra-Regular.ttf,Almendra-Regular,Almendra Regular,"Copyright (c) 2011-2012, Ana Sanfelippo (anasanfe@gmail.com), with Reserved Font Name \'Almendra\'"
Almendra,italic,400,Almendra-Italic.ttf,Almendra-Italic,Almendra Italic,"Copyright (c) 2011-2012, Ana Sanfelippo (anasanfe@gmail.com), with Reserved Font Name \'Almendra\'"
Almendra,normal,700,Almendra-Bold.ttf,Almendra-Bold,Almendra Bold,"Copyright (c) 2011-2012, Ana Sanfelippo (anasanfe@gmail.com), with Reserved Font Name \'Almendra\'"
Almendra,italic,700,Almendra-BoldItalic.ttf,Almendra-BoldItalic,Almendra Bold Italic,"Copyright (c) 2011-2012, Ana Sanfelippo (anasanfe@gmail.com), with Reserved Font Name \'Almendra\'"
Almendra Display,normal,400,AlmendraDisplay-Regular.ttf,AlmendraDisplay-Regular,Almendra Display Regular,"Copyright (c) 2011-2012, Ana Sanfelippo (anasanfe@gmail.com), with Reserved Font Name \'Almendra\'"
Almendra SC,normal,400,AlmendraSC-Regular.ttf,AlmendraSC-Regular,Almendra SC Regular,Copyright (c) 2011 by Ana Sanfelippo (anasanfe@gmail.com). Reserved Font Names \Almendra\ \Almendra SC\
Amarante,normal,400,Amarante-Regular.ttf,Amarante-Regular,Amarante Regular,"Copyright (c) 2011, Sorkin Type Co (www.sorkintype.com eben@eyebytes.com) with Reserved Font Name \Amarante\."
Amaranth,normal,400,Amaranth-Regular.ttf,Amaranth-Regular,Amaranth Regular,Copyright 2016 The Amaranth Project Authors (https://github.com/googlefonts/amaranth)
Amaranth,italic,400,Amaranth-Italic.ttf,Amaranth-Italic,Amaranth Italic,Copyright 2016 The Amaranth Project Authors (https://github.com/googlefonts/amaranth)
Amaranth,normal,700,Amaranth-Bold.ttf,Amaranth-Bold,Amaranth Bold,Copyright 2016 The Amaranth Project Authors (https://github.com/googlefonts/amaranth)
Amaranth,italic,700,Amaranth-BoldItalic.ttf,Amaranth-BoldItalic,Amaranth Bold Italic,Copyright 2016 The Amaranth Project Authors (https://github.com/googlefonts/amaranth)
Amatica SC,normal,400,AmaticaSC-Regular.ttf,AmaticaSC-Regular,Amatica SC Regular,Copyright 2011 The Amatic Project Authors.
Amatica SC,normal,700,AmaticaSC-Bold.ttf,AmaticaSC-Bold,Amatica SC Bold,Copyright 2011 The Amatic Project Authors.
Amatic SC,normal,400,AmaticSC-Regular.ttf,AmaticSC-Regular,Amatic SC Regular,Copyright 2015 The Amatic SC Project Authors (https://github.com/googlefonts/AmaticSC)
Amatic SC,normal,700,AmaticSC-Bold.ttf,AmaticSC-Bold,Amatic SC Bold,Copyright 2015 The Amatic SC Project Authors (https://github.com/googlefonts/AmaticSC)
Amethysta,normal,400,Amethysta-Regular.ttf,Amethysta-Regular,Amethysta Regular,"Copyright (c) 2011, Cyreal (www.cyreal.org) with Reserved Font Name \Amethysta\.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL"
Amiko,normal,400,Amiko-Regular.ttf,Amiko-Regular,Amiko Regular,"Copyright (c) 2014, Impallari Type (www.impallari.com)."
Amiko,normal,600,Amiko-SemiBold.ttf,Amiko-SemiBold,Amiko SemiBold,"Copyright (c) 2014, Impallari Type (www.impallari.com)."
Amiko,normal,700,Amiko-Bold.ttf,Amiko-Bold,Amiko Bold,"Copyright (c) 2014, Impallari Type (www.impallari.com)."
Amiri,normal,400,Amiri-Regular.ttf,Amiri-Regular,Amiri Regular,"Copyright (c) 2010-2016, Khaled Hosny <khaledhosny@eglug.org>. Portions copyright (c) 2010, Sebastian Kosch <sebastian@aldusleaf.org>."
Amiri,italic,400,Amiri-Italic.ttf,Amiri-Italic,Amiri Italic,"Copyright (c) 2010-2016, Khaled Hosny <khaledhosny@eglug.org>. Portions copyright (c) 2010, Sebastian Kosch <sebastian@aldusleaf.org>."
Amiri,normal,700,Amiri-Bold.ttf,Amiri-Bold,Amiri Bold,"Copyright (c) 2010-2016, Khaled Hosny <khaledhosny@eglug.org>. Portions copyright (c) 2010, Sebastian Kosch <sebastian@aldusleaf.org>."
Amiri,italic,700,Amiri-BoldItalic.ttf,Amiri-BoldItalic,Amiri Bold Italic,"Copyright (c) 2010-2016, Khaled Hosny <khaledhosny@eglug.org>. Portions copyright (c) 2010, Sebastian Kosch <sebastian@aldusleaf.org>."
Amita,normal,400,Amita-Regular.ttf,Amita-Regular,Amita Regular,"Copyright (c) 2014, Eduardo Rodriguez Tunni. Copyright (c) 2000, Modular Infotech, Pune, INDIA. All rights reserved. Copyright (c) 2011 by Brian J. Bonislawsky DBA Astigmatic (AOETI) (astigma@astigmatic.com). All rights reserved."
Amita,normal,700,Amita-Bold.ttf,Amita-Bold,Amita Bold,"Copyright (c) 2014, Eduardo Rodriguez Tunni. Copyright (c) 2000, Modular Infotech, Pune, INDIA. All rights reserved. Copyright (c) 2011 by Brian J. Bonislawsky DBA Astigmatic (AOETI) (astigma@astigmatic.com). All rights reserved."
Anaheim,normal,400,Anaheim-Regular.ttf,Anaheim-Regular,Anaheim Regular,Copyright 2012 The Anaheim Project Authors
Andada,normal,400,Andada-Regular.ttf,Andada-Regular,Andada Regular,"Copyright (c) 2011, Huerta Tipografica (www.huertatipografica.com.ar), with Reserved Font Names \Andada\, \Andada Pro\ and \Andada HT\"
Andada SC,normal,400,AndadaSC-Regular.ttf,AndadaSC-Regular,Andada SC,"Copyright (c) 2011-2012, Carolina Giovagnoli (huertatipografica.com.ar info@huertatipografica.com.ar), with Reserved Font Name 'Andada'"
Andada SC,italic,400,AndadaSC-Italic.ttf,AndadaSC-Italic,Andada SC Italic,"Copyright (c) 2011-2012, Carolina Giovagnoli (huertatipografica.com.ar info@huertatipografica.com.ar), with Reserved Font Name 'Andada'"
Andada SC,normal,700,AndadaSC-Bold.ttf,AndadaSC-Bold,Andada SC Bold,"Copyright (c) 2011-2012, Carolina Giovagnoli (huertatipografica.com.ar info@huertatipografica.com.ar), with Reserved Font Name 'Andada'"
Andada SC,italic,700,AndadaSC-BoldItalic.ttf,AndadaSC-BoldItalic,Andada SC Bold Italic,"Copyright (c) 2011-2012, Carolina Giovagnoli (huertatipografica.com.ar info@huertatipografica.com.ar), with Reserved Font Name 'Andada'"
Andika,normal,400,Andika-Regular.ttf,Andika-Regular,Andika Regular,"Copyright (c) 2004-2011, SIL International (http://www.sil.org/). Licensed under the SIL Open Font License, Version 1.1 (http://scripts.sil.org/OFL), with Reserved Font Names \Andika\ and \SIL\."
Angkor,normal,400,Angkor-Regular.ttf,Angkor-Regular,Angkor Regular,"Copyright (c) 2010, Danh Hong (khmertype.blogspot.com), with Reserved Font Name Angkor. This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL"
Annie Use Your Telescope,normal,400,AnnieUseYourTelescope-Regular.ttf,AnnieUseYourTelescope-Regular,Annie Use Your Telescope Regular,"Copyright (c) 2010, Kimberly Geswein (kimberlygeswein.com)"
Anonymous Pro,normal,400,AnonymousPro-Regular.ttf,AnonymousPro-Regular,Anonymous Pro Regular,Copyright (c) Mark Simonson 2009-2010. All rights reserved.
Anonymous Pro,italic,400,AnonymousPro-Italic.ttf,AnonymousPro-Italic,Anonymous Pro Italic,Copyright (c) Mark Simonson 2009-2010. All rights reserved.
Anonymous Pro,normal,700,AnonymousPro-Bold.ttf,AnonymousPro-Bold,Anonymous Pro Bold,Copyright (c) Mark Simonson 2009-2010. All rights reserved.
Anonymous Pro,italic,700,AnonymousPro-BoldItalic.ttf,AnonymousPro-BoldItalic,Anonymous Pro Bold Italic,Copyright (c) Mark Simonson 2009-2010. All rights reserved.
Antic,normal,400,Antic-Regular.ttf,Antic-Regular,Antic Regular,"Copyright (c) 2010, 2011, Santiago Orozco <hi@typemade.mx>, with Reserved Font Name \Antic\"
Antic Didone,normal,400,AnticDidone-Regular.ttf,AnticDidone-Regular,Antic Didone Regular,"Copyright (c) 2011, Santiago Orozco (hi@typemade.mx), with Reserved Font Name Antic Didone."
Antic Slab,normal,400,AnticSlab-Regular.ttf,AnticSlab-Regular,Antic Slab Regular,Copyright (c) 2011 by Santiago Orozco(hi@typemade.mx) with reserved name Antic Slab
Anton,normal,400,Anton-Regular.ttf,Anton-Regular,Anton Regular,Copyright 2011 The Anton Project Authors
