name,coordinates,website,status,csd_type,census_div,land_area_km,population_1996,population_2001,population_2006,population_2011,population_2016,population_2021,density_1996,density_2001,density_2006,density_2011,density_2016,density_2021,pop_change_1996_2001_pct,pop_change_2001_2006_pct,pop_change_2006_2011_pct,pop_change_2011_2016_pct,pop_change_2016_2021_pct
Armour,"45.628889, -79.343889",https://www.armourtownship.ca,single-tier,township,Parry Sound,163.52,1464,1326,1249,1372,1414,1459,8.95,8.11,7.64,8.39,8.65,8.92,-0.0943,-0.0581,0.0985,0.0306,0.0318
Armstrong,"47.7111, -79.8244",https://armstrongtownship.com,single-tier,township,Timiskaming,90.16,1398,1223,1155,1216,1166,1199,15.51,13.56,12.81,13.49,12.93,13.30,-0.1252,-0.0556,0.0528,-0.0411,0.0283
Arnprior,"45.433333, -76.35",https://www.arnprior.ca,lower-tier,town,Renfrew,13.04,7113,7192,7158,8114,8795,9629,545.48,551.53,548.93,622.24,674.46,738.42,0.0111,-0.0047,0.1336,0.0839,0.0948
Arran–Elderslie,"44.4, -81.2",https://www.arran-elderslie.ca,lower-tier,municipality,Bruce,458.76,6851,6577,6747,6810,6803,6913,14.93,14.34,14.71,14.84,14.83,15.07,-0.0400,0.0258,0.0093,-0.0010,0.0162
Ashfield–Colborne–Wawanosh,"43.866667, -81.6",https://acwtownship.ca,lower-tier,township,Huron,586.88,5477,5411,5409,5582,5422,5884,9.33,9.22,9.22,9.51,9.24,10.03,-0.0121,-0.0004,0.0320,-0.0287,0.0852
Asphodel–Norwood,"44.353056, -78.018333",https://www.antownship.ca,lower-tier,township,Peterborough,161.62,4080,3985,4247,4041,4109,4658,25.24,24.66,26.28,25.00,25.42,28.82,-0.0233,0.0657,-0.0485,0.0168,0.1336
Assiginack,"45.733333, -81.8",https://www.assiginack.ca,single-tier,township,Manitoulin,224.89,926,931,914,960,1013,1008,4.12,4.14,4.06,4.27,4.50,4.48,0.0054,-0.0183,0.0503,0.0552,-0.0049
Athens,"44.625, -75.95",http://www.athenstownship.ca,lower-tier,township,Leeds and Grenville,129.54,3040,3053,3086,3118,3018,3042,23.47,23.57,23.82,24.07,23.30,23.48,0.0043,0.0108,0.0104,-0.0321,0.0080
Atikokan,"48.75, -91.616667",http://www.atikokan.ca,single-tier,town,Rainy River,313.64,4043,3632,3293,2787,2753,2642,12.89,11.58,10.50,8.89,8.78,8.42,-0.1017,-0.0933,-0.1537,-0.0122,-0.0403
Augusta,"44.7511, -75.6003",https://augusta.ca,lower-tier,township,Leeds and Grenville,313.77,7626,7635,7510,7430,7353,7386,24.30,24.33,23.93,23.68,23.43,23.54,0.0012,-0.0164,-0.0107,-0.0104,0.0045
Aurora,"44, -79.466667",https://www.aurora.ca,lower-tier,town,York,50.00,34857,40167,47629,53203,55445,62057,697.14,803.34,952.58,1064.06,1108.90,1241.14,0.1523,0.1858,0.1170,0.0421,0.1193
Aylmer,"42.766667, -80.983333",https://aylmer.ca,lower-tier,town,Elgin,6.37,7018,7126,7069,7151,7492,7699,1101.73,1118.68,1109.73,1122.61,1176.14,1208.63,0.0154,-0.0080,0.0116,0.0477,0.0276
Baldwin,"46.316667, -81.75",https://baldwin.ca,single-tier,township,Sudbury,82.49,694,624,554,551,605,579,8.41,7.56,6.72,6.68,7.33,7.02,-0.1009,-0.1122,-0.0054,0.0980,-0.0430
Bancroft,"45.05, -77.85",https://www.bancroft.ca,lower-tier,town,Hastings,227.54,4080,4089,3838,3880,3881,4065,17.93,17.97,16.87,17.05,17.06,17.86,0.0022,-0.0614,0.0109,0.0003,0.0474
Barrie,"44.371111, -79.676944",https://www.barrie.ca,single-tier,city,Simcoe,99.01,79191,103710,128430,136063,141434,147829,799.83,1047.47,1297.14,1374.23,1428.48,1493.07,0.3096,0.2384,0.0594,0.0395,0.0452
Bayham,"42.733333, -80.783333",https://www.bayham.on.ca,lower-tier,municipality,Elgin,244.60,6234,6375,6727,6989,7396,7096,25.49,26.06,27.50,28.57,30.24,29.01,0.0226,0.0552,0.0389,0.0582,-0.0406
Beckwith,"45.083333, -76.066667",https://twp.beckwith.on.ca,lower-tier,township,Lanark,239.31,5495,6046,6387,6986,7644,9021,22.96,25.26,26.69,29.19,31.94,37.70,0.1003,0.0564,0.0938,0.0942,0.1801
Belleville,"44.166667, -77.383333",https://www.belleville.ca,single-tier,city,Hastings,247.15,37083,45986,48821,49454,50716,55071,150.04,186.07,197.54,200.10,205.20,222.82,0.2401,0.0616,0.0130,0.0255,0.0859
Billings,"45.9, -82.25",https://billingstwp.ca,single-tier,township,Manitoulin,208.81,538,551,539,506,603,753,2.58,2.64,2.58,2.42,2.89,3.61,0.0242,-0.0218,-0.0612,0.1917,0.2488
Black River-Matheson,"48.533333, -80.466667",https://www.twpbrm.ca,single-tier,township,Cochrane,1161.89,3220,2912,2619,2410,2438,2572,2.77,2.51,2.25,2.07,2.10,2.21,-0.0957,-0.1006,-0.0798,0.0116,0.0550
Blandford-Blenheim,"43.233333, -80.6",http://www.twp.bla-ble.on.ca,lower-tier,township,Oxford,382.03,7455,7630,7149,7359,7399,7565,19.51,19.97,18.71,19.26,19.37,19.80,0.0235,-0.0630,0.0294,0.0054,0.0224
Blind River,"46.183333, -82.95",https://www.blindriver.ca,single-tier,town,Algoma,513.98,3152,3969,3780,3549,3472,3422,6.13,7.72,7.35,6.90,6.76,6.66,0.2592,-0.0476,-0.0611,-0.0217,-0.0144
The Blue Mountains,"44.483333, -80.383333",https://www.thebluemountains.ca,lower-tier,town,Grey,284.65,5667,6116,6825,6453,7025,9390,19.91,21.49,23.98,22.67,24.68,32.99,0.0792,0.1159,-0.0545,0.0886,0.3367
Bluewater,"43.45, -81.6",https://www.municipalityofbluewater.ca,lower-tier,municipality,Huron,416.70,6874,6919,7120,7044,7136,7540,16.50,16.60,17.09,16.90,17.13,18.09,0.0065,0.0291,-0.0107,0.0131,0.0566
Bonfield,"46.216667, -79.133333",https://bonfieldtownship.com,single-tier,township,Nipissing,206.22,1765,2064,1981,2016,1990,2146,8.56,10.01,9.61,9.78,9.65,10.41,0.1694,-0.0402,0.0177,-0.0129,0.0784
Bonnechere Valley,"45.533333, -77.1",https://www.bonnecherevalleytwp.com,lower-tier,township,Renfrew,588.36,3622,3591,3665,3763,3674,3898,6.16,6.10,6.23,6.40,6.24,6.63,-0.0086,0.0206,0.0267,-0.0237,0.0610
Bracebridge,"45.033333, -79.3",https://www.bracebridge.ca,lower-tier,town,Muskoka,615.20,13223,13751,15652,15414,16010,17305,21.49,22.35,25.44,25.06,26.02,28.13,0.0399,0.1382,-0.0152,0.0387,0.0809
Bradford West Gwillimbury,"44.133333, -79.633333",https://www.townofbwg.com,lower-tier,town,Simcoe,200.68,20213,22228,24039,28077,35325,42880,100.72,110.76,119.79,139.91,176.03,213.67,0.0997,0.0815,0.1680,0.2581,0.2139
Brampton,"43.688333, -79.760833",https://www.brampton.ca,lower-tier,city,Peel,265.89,268251,325428,433806,523906,593638,656480,1008.88,1223.92,1631.52,1970.39,2232.65,2468.99,0.2131,0.3330,0.2077,0.1331,0.1059
Brant,"43.116667, -80.366667",https://www.brant.ca,single-tier,city,Brant,817.66,29800,31669,34415,35638,35640,39474,36.45,38.73,42.09,43.59,43.59,48.28,0.0627,0.0867,0.0355,0.0001,0.1076
Brantford,"43.140833, -80.263056",https://www.brantford.ca,single-tier,city,Brant,98.65,84764,86417,90192,93650,98563,104688,859.24,876.00,914.26,949.32,999.12,1061.21,0.0195,0.0437,0.0383,0.0525,0.0621
Brethour,"47.666667, -79.566667",,single-tier,township,Timiskaming,81.97,181,157,117,129,124,105,2.21,1.92,1.43,1.57,1.51,1.28,-0.1326,-0.2548,0.1026,-0.0388,-0.1532
Brighton,"44.030833, -77.723056",https://www.brighton.ca,lower-tier,municipality,Northumberland,223.24,9022,9449,10253,10928,11844,12108,40.41,42.33,45.93,48.95,53.06,54.24,0.0473,0.0851,0.0658,0.0838,0.0223
Brock,"44.316667, -79.083333",https://www.townshipofbrock.ca,lower-tier,township,Durham,422.64,11705,12110,11979,11341,11642,12567,27.69,28.65,28.34,26.83,27.55,29.73,0.0346,-0.0108,-0.0533,0.0265,0.0795
Brockton,"44.166667, -81.216667",https://www.brockton.ca,lower-tier,municipality,Bruce,564.64,10163,9658,9641,9432,9461,9784,18.00,17.10,17.07,16.70,16.76,17.33,-0.0497,-0.0018,-0.0217,0.0031,0.0341
Brockville,"44.583333, -75.683333",https://brockville.com,single-tier,city,Leeds and Grenville,20.91,21752,21375,21957,21870,21569,22116,1040.27,1022.24,1050.07,1045.91,1031.52,1057.68,-0.0173,0.0272,-0.0040,-0.0138,0.0254
Brooke-Alvinston,"42.85, -81.916667",http://brookealvinston.com,lower-tier,municipality,Lambton,311.41,2894,2785,2661,2548,2411,2359,9.29,8.94,8.55,8.18,7.74,7.58,-0.0377,-0.0445,-0.0425,-0.0538,-0.0216
Bruce Mines,"46.283333, -83.783333",http://www.brucemines.ca,single-tier,town,Algoma,6.09,653,627,584,566,582,582,107.22,102.96,95.89,92.94,95.57,95.57,-0.0398,-0.0686,-0.0308,0.0283,0.0000
"Brudenell, Lyndoch and Raglan","45.316667, -77.4",https://blrtownship.ca,lower-tier,township,Renfrew,701.29,1611,1565,1497,1658,1503,1552,2.30,2.23,2.13,2.36,2.14,2.21,-0.0286,-0.0435,0.1075,-0.0935,0.0326
Burk's Falls,"45.616667, -79.4",https://www.burksfalls.net,single-tier,village,Parry Sound,3.09,986,940,893,967,981,957,319.09,304.21,289.00,312.94,317.48,309.71,-0.0467,-0.0500,0.0829,0.0145,-0.0245
Burlington,"43.37, -79.814167",https://www.burlington.ca,lower-tier,city,Halton,186.12,136976,150836,164415,175779,183314,186948,735.96,810.42,883.38,944.44,984.92,1004.45,0.1012,0.0900,0.0691,0.0429,0.0198
Burpee and Mills,"45.783333, -82.566667",https://www.burpeemills.com,single-tier,township,Manitoulin,217.33,368,362,329,308,343,382,1.69,1.67,1.51,1.42,1.58,1.76,-0.0163,-0.0912,-0.0638,0.1136,0.1137
Caledon,"43.866667, -79.866667",https://www.caledon.ca,lower-tier,town,Peel,688.82,39893,50595,57050,59460,66502,76581,57.91,73.45,82.82,86.32,96.54,111.18,0.2683,0.1276,0.0422,0.1184,0.1516
Callander,"46.216667, -79.366667",https://www.mycallander.ca,single-tier,municipality,Parry Sound,102.98,,,3249,3864,3863,3964,,,31.55,37.52,37.51,38.49,,,0.1893,-0.0003,0.0261
Calvin,"46.233333, -78.933333",https://calvintownship.ca,single-tier,municipality,Nipissing,140.13,562,603,608,568,516,557,4.01,4.30,4.34,4.05,3.68,3.97,0.0730,0.0083,-0.0658,-0.0915,0.0795
Cambridge,"43.397222, -80.311389",https://www.cambridge.ca,lower-tier,city,Waterloo,112.99,101429,110372,120371,126748,129920,138479,897.68,976.83,1065.32,1121.76,1149.84,1225.59,0.0882,0.0906,0.0530,0.0250,0.0659
Carleton Place,"45.133333, -76.133333",https://carletonplace.ca,lower-tier,town,Lanark,9.94,8450,9083,9453,9809,10644,12517,850.10,913.78,951.01,986.82,1070.82,1259.26,0.0749,0.0407,0.0377,0.0851,0.1760
Carling,"45.433333, -80.216667",https://carling.ca,single-tier,township,Parry Sound,244.32,952,1063,1123,1248,1125,1491,3.90,4.35,4.60,5.11,4.60,6.10,0.1166,0.0564,0.1113,-0.0986,0.3253
Carlow/Mayo,"45.133333, -77.616667",https://carlowmayo.ca,lower-tier,township,Hastings,385.32,891,833,950,892,864,953,2.31,2.16,2.47,2.31,2.24,2.47,-0.0651,0.1405,-0.0611,-0.0314,0.1030
Casey,"47.625, -79.5667",http://casey.ca,single-tier,township,Timiskaming,80.80,421,421,385,374,368,341,5.21,5.21,4.76,4.63,4.55,4.22,0.0000,-0.0855,-0.0286,-0.0160,-0.0734
Casselman,"45.3, -75.083333",https://www.casselman.ca,lower-tier,village,Prescott and Russell,5.13,2877,2910,3275,3626,3548,3960,560.82,567.25,638.40,706.82,691.62,771.93,0.0115,0.1254,0.1072,-0.0215,0.1161
Cavan Monaghan,"44.2, -78.466667",https://www.cavanmonaghan.net,lower-tier,township,Peterborough,306.39,8252,8453,8828,8601,8829,10016,26.93,27.59,28.81,28.07,28.82,32.69,0.0244,0.0444,-0.0257,0.0265,0.1344
Central Elgin,"42.766667, -81.1",https://www.centralelgin.org,lower-tier,municipality,Elgin,279.87,12156,12360,12723,12743,12607,13746,43.43,44.16,45.46,45.53,45.05,49.12,0.0168,0.0294,0.0016,-0.0107,0.0903
Central Frontenac,"44.7167, -76.8",https://www.centralfrontenac.com,lower-tier,township,Frontenac,991.41,4615,4557,4665,4556,4373,4892,4.65,4.60,4.71,4.60,4.41,4.93,-0.0126,0.0237,-0.0234,-0.0402,0.1187
Central Huron,"43.63, -81.57",https://www.centralhuron.ca,lower-tier,municipality,Huron,449.43,7862,7806,7641,7586,7576,7799,17.49,17.37,17.00,16.88,16.86,17.35,-0.0071,-0.0211,-0.0072,-0.0013,0.0294
Central Manitoulin,"45.716667, -82.2",https://www.centralmanitoulin.ca,single-tier,municipality,Manitoulin,427.61,1794,1907,1944,1958,2084,2235,4.20,4.46,4.55,4.58,4.87,5.23,0.0630,0.0194,0.0072,0.0644,0.0725
Centre Hastings,"44.4167, -77.4417",https://www.centrehastings.com,lower-tier,municipality,Hastings,222.79,4103,4226,4386,4574,4774,4801,18.42,18.97,19.69,20.53,21.43,21.55,0.0300,0.0379,0.0429,0.0437,0.0057
Centre Wellington,"43.7, -80.366667",https://www.centrewellington.ca,lower-tier,township,Wellington,409.41,21786,24260,26049,26693,28191,31093,53.21,59.26,63.63,65.20,68.86,75.95,0.1136,0.0737,0.0247,0.0561,0.1029
Chamberlain,"47.8833, -79.9333",http://www.chamberlaintownship.com,single-tier,township,Timiskaming,110.81,361,348,322,297,332,311,3.26,3.14,2.91,2.68,3.00,2.81,-0.0360,-0.0747,-0.0776,0.1178,-0.0633
Champlain,"45.533333, -74.65",https://www.champlain.ca,lower-tier,township,Prescott and Russell,207.02,8375,8591,8683,8573,8706,8665,40.46,41.50,41.94,41.41,42.05,41.86,0.0258,0.0107,-0.0127,0.0155,-0.0047
Chapleau,"47.843889, -83.400278",https://chapleau.ca,single-tier,township,Sudbury,13.20,2934,2832,2354,2116,1964,1942,222.27,214.55,178.33,160.30,148.79,147.12,-0.0348,-0.1688,-0.1011,-0.0718,-0.0112
Chapple,"48.7425, -93.994722",https://chapple.on.ca,single-tier,township,Rainy River,558.15,909,910,856,741,643,763,1.63,1.63,1.53,1.33,1.15,1.37,0.0011,-0.0593,-0.1343,-0.1323,0.1866
Charlton and Dack,"47.8083, -80",http://www.charltonanddack.com,single-tier,municipality,Timiskaming,92.74,775,702,613,671,686,686,8.36,7.57,6.61,7.24,7.40,7.40,-0.0942,-0.1268,0.0946,0.0224,0.0000
Chatham-Kent,"42.4, -82.183333",https://www.chatham-kent.ca,single-tier,municipality,Chatham-Kent,2451.90,109350,107341,108177,103671,101647,103988,44.60,43.78,44.12,42.28,41.46,42.41,-0.0184,0.0078,-0.0417,-0.0195,0.0230
Chatsworth,"44.3817, -80.8883",https://chatsworth.ca,lower-tier,township,Grey,594.44,6278,6280,6392,6437,6630,7080,10.56,10.56,10.75,10.83,11.15,11.91,0.0003,0.0178,0.0070,0.0300,0.0679
Chisholm,"46.1, -79.233333",https://chisholm.ca,single-tier,township,Nipissing,205.77,1197,1230,1318,1263,1291,1312,5.82,5.98,6.41,6.14,6.27,6.38,0.0276,0.0715,-0.0417,0.0222,0.0163
Clarence-Rockland,"45.4881, -75.215",https://www.clarence-rockland.com,lower-tier,city,Prescott and Russell,297.47,18633,19612,20790,23185,24512,26505,62.64,65.93,69.89,77.94,82.40,89.10,0.0525,0.0601,0.1152,0.0572,0.0813
Clarington,"43.994722, -78.675",https://www.clarington.net,lower-tier,municipality,Durham,610.84,60615,69834,77820,84548,92013,101427,99.23,114.32,127.40,138.41,150.63,166.05,0.1521,0.1144,0.0865,0.0883,0.1023
Clearview,"44.398056, -80.074167",https://www.clearview.ca,lower-tier,township,Simcoe,556.37,12407,13796,14088,13734,14151,14814,22.30,24.80,25.32,24.69,25.43,26.63,0.1120,0.0212,-0.0251,0.0304,0.0469
Cobalt,"47.4, -79.683333",https://cobalt.ca,single-tier,town,Timiskaming,2.07,1401,1229,1224,1133,1128,989,676.81,593.72,591.30,547.34,544.93,477.78,-0.1228,-0.0041,-0.0743,-0.0044,-0.1232
Cobourg,"43.966667, -78.166667",https://www.cobourg.ca,lower-tier,town,Northumberland,22.41,16185,17172,18210,18519,19440,20519,722.22,766.27,812.58,826.37,867.47,915.62,0.0610,0.0604,0.0170,0.0497,0.0555
Cochrane,"49.070556, -81.020556",https://cochraneontario.com,single-tier,town,Cochrane,537.90,5535,5690,5487,5340,5321,5390,10.29,10.58,10.20,9.93,9.89,10.02,0.0280,-0.0357,-0.0268,-0.0036,0.0130
Cockburn Island,"45.920556, -83.373611",https://cockburnisland.ca,single-tier,township,Manitoulin,168.90,2,0,10,0,0,16,0.01,0.00,0.06,0.00,0.00,0.09,,,,,
Coleman,"47.3675, -79.7594",https://www.colemantownship.ca,single-tier,township,Timiskaming,177.95,499,550,540,597,595,517,2.80,3.09,3.03,3.35,3.34,2.91,0.1022,-0.0182,0.1056,-0.0034,-0.1311
Collingwood,"44.5, -80.216667",https://www.collingwood.ca,lower-tier,town,Simcoe,33.15,15596,16039,17290,19241,21793,24811,470.47,483.83,521.57,580.42,657.41,748.45,0.0284,0.0780,0.1128,0.1326,0.1385
Conmee,"48.466667, -89.666667",https://conmee.com,single-tier,township,Thunder Bay,167.65,729,748,740,764,819,798,4.35,4.46,4.41,4.56,4.89,4.76,0.0261,-0.0107,0.0324,0.0720,-0.0256
Cornwall,"45.0275, -74.74",https://www.cornwall.ca,single-tier,city,"Stormont, Dundas and Glengarry",61.50,47403,45640,45965,46340,46589,47845,770.78,742.11,747.40,753.50,757.54,777.97,-0.0372,0.0071,0.0082,0.0054,0.0270
Cramahe,"44.083333, -77.883333",https://www.visitcramahe.ca,lower-tier,township,Northumberland,202.22,5474,5713,5950,6073,6355,6509,27.07,28.25,29.42,30.03,31.43,32.19,0.0437,0.0415,0.0207,0.0464,0.0242
Dawn-Euphemia,"42.7, -82.016667",https://dawneuphemia.ca,lower-tier,township,Lambton,445.14,2577,2396,2190,2049,1967,1968,5.79,5.38,4.92,4.60,4.42,4.42,-0.0702,-0.0860,-0.0644,-0.0400,0.0005
Dawson,"48.75, -94.483333",,single-tier,township,Rainy River,343.42,631,613,620,563,468,399,1.84,1.78,1.81,1.64,1.36,1.16,-0.0285,0.0114,-0.0919,-0.1687,-0.1474
Deep River,"46.1, -77.491667",http://www.deepriver.ca,lower-tier,town,Renfrew,50.27,4491,4135,4216,4193,4109,4175,89.34,82.26,83.87,83.41,81.74,83.05,-0.0793,0.0196,-0.0055,-0.0200,0.0161
Deseronto,"44.2, -77.05",https://www.deseronto.ca,lower-tier,town,Hastings,2.52,1811,1796,1824,1835,1774,1747,718.65,712.70,723.81,728.17,703.97,693.25,-0.0083,0.0156,0.0060,-0.0332,-0.0152
Dorion,"48.783333, -88.6",https://doriontownship.ca,single-tier,township,Thunder Bay,211.25,472,442,379,338,316,375,2.23,2.09,1.79,1.60,1.50,1.78,-0.0636,-0.1425,-0.1082,-0.0651,0.1867
Douro-Dummer,"44.45, -78.1",https://www.dourodummer.ca,lower-tier,township,Peterborough,459.46,6724,6652,6954,6805,6709,7632,14.63,14.48,15.14,14.81,14.60,16.61,-0.0107,0.0454,-0.0214,-0.0141,0.1376
Drummond/North Elmsley,"44.966667, -76.2",https://www.dnetownship.ca,lower-tier,township,Lanark,365.67,6187,6670,7118,7487,7773,8183,16.92,18.24,19.47,20.47,21.26,22.38,0.0781,0.0672,0.0518,0.0382,0.0527
Dryden,"49.783333, -92.833333",https://www.dryden.ca,single-tier,city,Kenora,65.58,6711,8198,8195,7617,7749,7388,102.33,125.01,124.96,116.15,118.16,112.66,0.2216,-0.0004,-0.0705,0.0173,-0.0466
Dubreuilville,"48.35, -84.55",https://dubreuilville.ca,single-tier,township,Algoma,87.53,990,967,773,635,613,576,11.31,11.05,8.83,7.25,7.00,6.58,-0.0232,-0.2006,-0.1785,-0.0346,-0.0604
Dutton/Dunwich,"42.666667, -81.5",https://www.duttondunwich.on.ca,lower-tier,municipality,Elgin,294.38,3603,3696,3821,3876,3866,4152,12.24,12.56,12.98,13.17,13.13,14.10,0.0258,0.0338,0.0144,-0.0026,0.0740
"Dysart, Dudley, Harcourt, Guilford, Harburn, Bruton, Havelock, Eyre and Clyde","45.2, -78.416667",https://www.dysartetal.ca,lower-tier,municipality,Haliburton,1474.22,5380,4924,5526,5966,6280,7182,3.65,3.34,3.75,4.05,4.26,4.87,-0.0848,0.1223,0.0796,0.0526,0.1436
Ear Falls,"50.633333, -93.216667",https://ear-falls.com,single-tier,township,Kenora,336.69,1170,1150,1153,1026,995,924,3.48,3.42,3.42,3.05,2.96,2.74,-0.0171,0.0026,-0.1101,-0.0302,-0.0714
East Ferris,"46.266667, -79.3",https://eastferris.ca,single-tier,municipality,Nipissing,151.94,4139,4291,4228,4766,4862,4946,27.24,28.24,27.83,31.37,32.00,32.55,0.0367,-0.0147,0.1272,0.0201,0.0173
East Garafraxa,"43.85, -80.25",https://www.eastgarafraxa.ca,lower-tier,township,Dufferin,166.50,2084,2214,2389,2595,2579,2794,12.52,13.30,14.35,15.59,15.49,16.78,0.0624,0.0790,0.0862,-0.0062,0.0834
East Gwillimbury,"44.133333, -79.416667",https://www.eastgwillimbury.ca,lower-tier,town,York,244.91,19770,20555,21069,22473,23991,34637,80.72,83.93,86.03,91.76,97.96,141.43,0.0397,0.0250,0.0666,0.0675,0.4437
East Hawkesbury,"45.5039, -74.5",https://www.easthawkesbury.ca,lower-tier,township,Prescott and Russell,235.06,3296,3415,3368,3335,3296,3418,14.02,14.53,14.33,14.19,14.02,14.54,0.0361,-0.0138,-0.0098,-0.0117,0.0370
East Zorra-Tavistock,"43.233333, -80.783333",https://www.ezt.ca,lower-tier,township,Oxford,241.96,7348,7238,7008,6836,7113,7841,30.37,29.91,28.96,28.25,29.40,32.41,-0.0150,-0.0318,-0.0245,0.0405,0.1023
Edwardsburgh/Cardinal,"44.833333, -75.5",https://www.twpec.ca,lower-tier,township,Leeds and Grenville,309.91,6715,6674,6689,6959,7074,7505,21.67,21.54,21.58,22.45,22.83,24.22,-0.0061,0.0022,0.0404,0.0165,0.0609
Elizabethtown-Kitley,"44.7, -75.883333",https://ektwp.ca,lower-tier,township,Leeds and Grenville,555.96,10222,10039,10201,9724,9631,9545,18.39,18.06,18.35,17.49,17.32,17.17,-0.0179,0.0161,-0.0468,-0.0096,-0.0089
Elliot Lake,"46.383333, -82.65",https://www.elliotlake.ca,single-tier,city,Algoma,696.06,13588,11956,11549,11348,10741,11372,19.52,17.18,16.59,16.30,15.43,16.34,-0.1201,-0.0340,-0.0174,-0.0535,0.0587
Emo,"48.633333, -93.833333",https://emo.ca,single-tier,township,Rainy River,202.28,1366,1331,1305,1252,1333,1204,6.75,6.58,6.45,6.19,6.59,5.95,-0.0256,-0.0195,-0.0406,0.0647,-0.0968
Englehart,"47.816667, -79.866667",https://www.englehart.ca,single-tier,town,Timiskaming,2.92,1703,1595,1494,1519,1479,1442,583.22,546.23,511.64,520.21,506.51,493.84,-0.0634,-0.0633,0.0167,-0.0263,-0.0250
Enniskillen,"42.816667, -82.125",https://www.enniskillen.ca,lower-tier,township,Lambton,338.05,3288,3259,3122,2930,2796,2825,9.73,9.64,9.24,8.67,8.27,8.36,-0.0088,-0.0420,-0.0615,-0.0457,0.0104
Erin,"43.766667, -80.066667",https://www.erin.ca,lower-tier,town,Wellington,298.81,10657,10657,11148,10770,11439,11981,35.66,35.66,37.31,36.04,38.28,40.10,0.0000,0.0461,-0.0339,0.0621,0.0474
Espanola,"46.25, -81.766667",https://www.espanola.ca,single-tier,town,Sudbury,81.00,5454,5449,5314,5364,5048,5185,67.33,67.27,65.60,66.22,62.32,64.01,-0.0009,-0.0248,0.0094,-0.0589,0.0271
Essa,"44.25, -79.783333",https://www.essatownship.on.ca,lower-tier,township,Simcoe,279.92,16363,16808,16901,18505,21083,22970,58.46,60.05,60.38,66.11,75.32,82.06,0.0272,0.0055,0.0949,0.1393,0.0895
Essex,"42.083333, -82.9",https://www.essex.ca,lower-tier,town,Essex,277.53,19437,20085,20032,19600,20427,21216,70.04,72.37,72.18,70.62,73.60,76.45,0.0333,-0.0026,-0.0216,0.0422,0.0386
