latitude,month,tst,sza
40.0,mar,0430,NA
40.0,mar,0500,NA
40.0,mar,0530,NA
40.0,mar,0600,NA
40.0,mar,0630,89.1
40.0,mar,0700,83.7
40.0,mar,0730,78.1
40.0,mar,0800,72.8
40.0,mar,0830,67.8
40.0,mar,0900,63.1
40.0,mar,0930,58.8
40.0,mar,1000,55.1
40.0,mar,1030,51.9
40.0,mar,1100,49.6
40.0,mar,1130,48.1
40.0,mar,1200,47.7
40.0,apr,0400,NA
40.0,apr,0430,NA
40.0,apr,0500,NA
40.0,apr,0530,NA
40.0,apr,0600,87.1
40.0,apr,0630,81.4
40.0,apr,0700,75.6
40.0,apr,0730,70.0
40.0,apr,0800,64.4
40.0,apr,0830,59.0
40.0,apr,0900,53.8
40.0,apr,0930,49.0
40.0,apr,1000,44.6
40.0,apr,1030,40.9
40.0,apr,1100,38.0
40.0,apr,1130,36.2
40.0,apr,1200,35.5
40.0,may,0400,NA
40.0,may,0430,NA
40.0,may,0500,NA
40.0,may,0530,85.9
40.0,may,0600,80.5
40.0,may,0630,74.7
40.0,may,0700,68.9
40.0,may,0730,63.2
40.0,may,0800,57.5
40.0,may,0830,51.8
40.0,may,0900,46.3
40.0,may,0930,41.0
40.0,may,1000,36.1
40.0,may,1030,31.7
40.0,may,1100,28.2
40.0,may,1130,25.8
40.0,may,1200,25.0
40.0,jun,0400,NA
40.0,jun,0430,NA
40.0,jun,0500,86.8
40.0,jun,0530,81.5
40.0,jun,0600,76.1
40.0,jun,0630,70.5
40.0,jun,0700,64.9
40.0,jun,0730,59.2
40.0,jun,0800,53.4
40.0,jun,0830,47.7
40.0,jun,0900,42.0
40.0,jun,0930,36.5
40.0,jun,1000,31.2
40.0,jun,1030,26.2
40.0,jun,1100,22.1
40.0,jun,1130,19.1
40.0,jun,1200,18.0
40.0,jul,0400,NA
40.0,jul,0430,NA
40.0,jul,0500,86.0
40.0,jul,0530,80.8
40.0,jul,0600,75.4
40.0,jul,0630,69.9
40.0,jul,0700,64.3
40.0,jul,0730,58.6
40.0,jul,0800,52.8
40.0,jul,0830,47.1
40.0,jul,0900,41.4
40.0,jul,0930,35.8
40.0,jul,1000,30.4
40.0,jul,1030,25.4
40.0,jul,1100,21.1
40.0,jul,1130,18.0
40.0,jul,1200,16.9
40.0,aug,0400,NA
40.0,aug,0430,NA
40.0,aug,0500,89.3
40.0,aug,0530,83.9
40.0,aug,0600,78.4
40.0,aug,0630,72.8
40.0,aug,0700,67.1
40.0,aug,0730,61.4
40.0,aug,0800,55.6
40.0,aug,0830,49.9
40.0,aug,0900,44.4
40.0,aug,0930,39.0
40.0,aug,1000,33.8
40.0,aug,1030,29.2
40.0,aug,1100,25.4
40.0,aug,1130,22.8
40.0,aug,1200,21.9
40.0,sep,0400,NA
40.0,sep,0430,NA
40.0,sep,0500,NA
40.0,sep,0530,NA
40.0,sep,0600,84.6
40.0,sep,0630,78.9
40.0,sep,0700,73.2
40.0,sep,0730,67.5
40.0,sep,0800,61.8
40.0,sep,0830,56.3
40.0,sep,0900,51.0
40.0,sep,0930,46.0
40.0,sep,1000,41.4
40.0,sep,1030,37.5
40.0,sep,1100,34.4
40.0,sep,1130,32.3
40.0,sep,1200,31.6
40.0,oct,0400,NA
40.0,oct,0430,NA
40.0,oct,0500,NA
40.0,oct,0530,NA
40.0,oct,0600,NA
40.0,oct,0630,86.3
40.0,oct,0700,80.6
40.0,oct,0730,75.1
40.0,oct,0800,69.7
40.0,oct,0830,64.5
40.0,oct,0900,59.6
40.0,oct,0930,55.1
40.0,oct,1000,51.2
40.0,oct,1030,47.8
40.0,oct,1100,45.3
40.0,oct,1130,43.6
40.0,oct,1200,43.1
40.0,nov,0400,NA
40.0,nov,0430,NA
40.0,nov,0500,NA
40.0,nov,0530,NA
40.0,nov,0600,NA
40.0,nov,0630,NA
40.0,nov,0700,88.1
40.0,nov,0730,82.6
40.0,nov,0800,77.8
40.0,nov,0830,72.8
40.0,nov,0900,68.6
40.0,nov,0930,64.4
40.0,nov,1000,61.1
40.0,nov,1030,58.2
40.0,nov,1100,56.1
40.0,nov,1130,54.7
40.0,nov,1200,54.5
40.0,dec,0400,NA
40.0,dec,0430,NA
40.0,dec,0500,NA
40.0,dec,0530,NA
40.0,dec,0600,NA
40.0,dec,0630,NA
40.0,dec,0700,NA
40.0,dec,0730,88.1
40.0,dec,0800,83.3
40.0,dec,0830,78.8
40.0,dec,0900,74.7
40.0,dec,0930,71.0
40.0,dec,1000,67.8
40.0,dec,1030,65.3
40.0,dec,1100,63.3
40.0,dec,1130,62.2
40.0,dec,1200,61.8
50.0,jan,0400,NA
50.0,jan,0430,NA
50.0,jan,0500,NA
50.0,jan,0530,NA
50.0,jan,0600,NA
50.0,jan,0630,NA
50.0,jan,0700,NA
50.0,jan,0730,NA
50.0,jan,0800,NA
50.0,jan,0830,86.5
50.0,jan,0900,83.2
50.0,jan,0930,80.2
50.0,jan,1000,77.7
50.0,jan,1030,75.7
50.0,jan,1100,74.2
50.0,jan,1130,73.3
50.0,jan,1200,73.0
50.0,feb,0400,NA
50.0,feb,0430,NA
50.0,feb,0500,NA
50.0,feb,0530,NA
50.0,feb,0600,NA
50.0,feb,0630,NA
50.0,feb,0700,NA
50.0,feb,0730,89.5
50.0,feb,0800,85.3
50.0,feb,0830,81.5
50.0,feb,0900,78.0
50.0,feb,0930,74.9
50.0,feb,1000,72.2
50.0,feb,1030,70.0
50.0,feb,1100,68.5
50.0,feb,1130,67.5
50.0,feb,1200,67.2
50.0,mar,0400,NA
50.0,mar,0430,NA
50.0,mar,0500,NA
50.0,mar,0530,NA
50.0,mar,0600,NA
50.0,mar,0630,NA
50.0,mar,0700,86.3
50.0,mar,0730,81.8
50.0,mar,0800,77.4
50.0,mar,0830,73.3
50.0,mar,0900,69.6
50.0,mar,0930,66.2
50.0,mar,1000,63.2
50.0,mar,1030,60.9
50.0,mar,1100,59.1
50.0,mar,1130,58.0
50.0,mar,1200,57.7
50.0,apr,0400,NA
50.0,apr,0430,NA
50.0,apr,0500,NA
50.0,apr,0530,NA
50.0,apr,0600,86.6
50.0,apr,0630,81.8
50.0,apr,0700,76.9
50.0,apr,0730,72.2
50.0,apr,0800,67.6
50.0,apr,0830,63.2
50.0,apr,0900,59.1
50.0,apr,0930,55.4
50.0,apr,1000,52.0
50.0,apr,1030,49.3
50.0,apr,1100,47.2
50.0,apr,1130,45.9
50.0,apr,1200,45.5
50.0,may,0400,NA
50.0,may,0430,NA
50.0,may,0500,87.8
50.0,may,0530,83.2
50.0,may,0600,78.5
50.0,may,0630,73.7
50.0,may,0700,68.9
50.0,may,0730,64.1
50.0,may,0800,59.4
50.0,may,0830,54.7
50.0,may,0900,50.3
50.0,may,0930,46.2
50.0,may,1000,42.5
50.0,may,1030,39.4
50.0,may,1100,37.0
50.0,may,1130,35.5
50.0,may,1200,35.0
50.0,jun,0400,NA
50.0,jun,0430,86.7
50.0,jun,0500,82.4
50.0,jun,0530,78.0
50.0,jun,0600,73.3
50.0,jun,0630,68.6
50.0,jun,0700,63.8
50.0,jun,0730,59.0
50.0,jun,0800,54.2
50.0,jun,0830,49.5
50.0,jun,0900,44.9
50.0,jun,0930,40.6
50.0,jun,1000,36.6
50.0,jun,1030,33.1
50.0,jun,1100,30.4
50.0,jun,1130,28.6
50.0,jun,1200,28.0
50.0,jul,0400,89.7
50.0,jul,0430,85.7
50.0,jul,0500,81.5
50.0,jul,0530,77.1
50.0,jul,0600,72.5
50.0,jul,0630,67.8
50.0,jul,0700,63.0
50.0,jul,0730,58.2
50.0,jul,0800,53.4
50.0,jul,0830,48.7
50.0,jul,0900,44.1
50.0,jul,0930,39.7
50.0,jul,1000,35.6
50.0,jul,1030,32.1
50.0,jul,1100,29.3
50.0,jul,1130,27.5
50.0,jul,1200,26.9
50.0,aug,0400,NA
50.0,aug,0430,89.7
50.0,aug,0500,85.4
50.0,aug,0530,80.8
50.0,aug,0600,76.2
50.0,aug,0630,71.4
50.0,aug,0700,66.6
50.0,aug,0730,61.8
50.0,aug,0800,57.0
50.0,aug,0830,52.4
50.0,aug,0900,47.9
50.0,aug,0930,43.7
50.0,aug,1000,39.9
50.0,aug,1030,36.6
50.0,aug,1100,34.1
50.0,aug,1130,32.5
50.0,aug,1200,31.9
50.0,sep,0400,NA
50.0,sep,0430,NA
50.0,sep,0500,NA
50.0,sep,0530,88.3
50.0,sep,0600,83.6
50.0,sep,0630,78.8
50.0,sep,0700,74.0
50.0,sep,0730,69.2
50.0,sep,0800,64.6
50.0,sep,0830,60.1
50.0,sep,0900,55.9
50.0,sep,0930,52.0
50.0,sep,1000,48.5
50.0,sep,1030,45.7
50.0,sep,1100,43.5
50.0,sep,1130,42.1
50.0,sep,1200,41.6
50.0,oct,0400,NA
50.0,oct,0430,NA
50.0,oct,0500,NA
50.0,oct,0530,NA
50.0,oct,0600,NA
50.0,oct,0630,87.6
50.0,oct,0700,82.8
50.0,oct,0730,78.2
50.0,oct,0800,73.8
50.0,oct,0830,69.6
50.0,oct,0900,65.7
50.0,oct,0930,62.1
50.0,oct,1000,59.1
50.0,oct,1030,56.5
50.0,oct,1100,54.7
50.0,oct,1130,53.5
50.0,oct,1200,53.1
50.0,nov,0400,NA
50.0,nov,0430,NA
50.0,nov,0500,NA
50.0,nov,0530,NA
50.0,nov,0600,NA
50.0,nov,0630,NA
50.0,nov,0700,NA
50.0,nov,0730,87.1
50.0,nov,0800,83.0
50.0,nov,0830,79.0
50.0,nov,0900,75.5
50.0,nov,0930,72.3
50.0,nov,1000,69.5
50.0,nov,1030,67.3
50.0,nov,1100,65.7
50.0,nov,1130,64.7
50.0,nov,1200,64.4
50.0,dec,0400,NA
50.0,dec,0430,NA
50.0,dec,0500,NA
50.0,dec,0530,NA
50.0,dec,0600,NA
50.0,dec,0630,NA
50.0,dec,0700,NA
50.0,dec,0730,NA
50.0,dec,0800,89.2
50.0,dec,0830,85.5
50.0,dec,0900,82.1
50.0,dec,0930,79.1
50.0,dec,1000,76.5
50.0,dec,1030,74.5
50.0,dec,1100,73.0
50.0,dec,1130,72.1
50.0,dec,1200,71.8
